0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/js/hr.js HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/aws/echo HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/company/1/project/projectMemberJson HTTP/1.1" 200 6578
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 10793
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/company/1/project/projectListJson HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:56 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:04:57 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 10793
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "POST /ourmine/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/login?logout HTTP/1.1" 200 7031
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/resources/css/animations.css HTTP/1.1" 200 18817
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/resources/images/%EB%A1%9C%EA%B3%A0_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 11222
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/resources/images/%EB%A1%9C%EA%B7%B8%EC%9D%B82.png HTTP/1.1" 200 38869
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:02 +0900] "GET /ourmine/login?logout HTTP/1.1" 200 7031
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:20 +0900] "POST /ourmine/login?logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:20 +0900] "GET /ourmine/ HTTP/1.1" 200 45605
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:20 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:20 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:20 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:20 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:05:20 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
